name,symbol,weight
,,
Goldman Sachs Group Inc.,GS,0.06740112
3M Company,MMM,0.05880799
International Business Machines Corporation,IBM,0.05560729
Boeing Company,BA,0.0543143
Home Depot Inc.,HD,0.05146547
McDonalds Corporation,MCD,0.04880317
UnitedHealth Group Incorporated,UNH,0.04630621
Travelers Companies Inc.,TRV,0.04496233
Walt Disney Company,DIS,0.04174892
Apple Inc.,AAPL,0.04128684
Johnson & Johnson,JNJ,0.04112998
United Technologies Corporation,UTX,0.03765797
Chevron Corporation,CVX,0.03447847
Procter & Gamble Company,PG,0.03215532
Exxon Mobil Corporation,XOM,0.03207053
Visa Inc. Class A,V,0.03098951
American Express Company,AXP,0.02664419
Wal-Mart Stores Inc.,WMT,0.02624993
Caterpillar Inc.,CAT,0.02581328
NIKE Inc. Class B,NKE,0.02491878
JPMorgan Chase & Co.,JPM,0.02430832
E. I. du Pont de Nemours and Company,DD,0.02407516
Microsoft Corporation,MSFT,0.0218919
Merck & Co. Inc.,MRK,0.02147645
Verizon Communications Inc.,VZ,0.01871664
Coca-Cola Company,KO,0.0177416
Intel Corporation,INTC,0.0135277
Pfizer Inc.,PFE,0.01287485
General Electric Company,GE,0.01197187
Cisco Systems Inc.,CSCO,0.01042875
U.S. Dollar,CASH_USD,0.00017378
Singapore Dollar,CASH_SGD,0.00000131
,,0.99999993
