name,symbol,weight
,,
,CRAY,0.000884
RADIUS HEALTH INC,RDUS,0.000884
MARRIOTT VACATIONS WORLDWIDE CORP.,VAC,0.000881
CHILDRENS PLACE INC,PLCE,0.000881
KAISER ALUMINUM CORP.,KALU,0.000881
COMSCORE INC,SCOR,0.000879
IRONWOOD PHARMACEUTICALS INC. CL A,IRWD,0.000877
WISDOMTREE INVESTMENTS INC,WETF,0.000877
KNIGHT TRANSPORTATION INC.,KNX,0.000875
PROTO LABS INC,PRLB,0.000875
ASTORIA FINANCIAL CORP.,AF,0.000874
SIMPSON MANUFACTURING CO.,SSD,0.000873
MINERALS TECHNOLOGIES INC.,MTX,0.00087
FRESH DEL MONTE PRODUCE INC,FDP,0.00087
FIRST MIDWEST BANCORP,FMBI,0.000867
UNIVERSAL FOREST PRODUCTS INC.,UFPI,0.000867
DREW INDUSTRIES INC.,DW,0.000864
OIL STATES INTERNATIONAL INC.,OIS,0.000859
AZZ INC.,AZZ,0.000859
FINISAR CORP.,FNSR,0.000855
RAMBUS INC.,RMBS,0.000855
WATTS WATER TECHNOLOGIES INC. CL A,WTS,0.000853
ACTUANT CORP. CL A,ATU,0.000851
ORMAT TECHNOLOGIES INC.,ORA,0.00085
POWER INTEGRATIONS INC.,POWI,0.00085
CAMBREX CORP.,CBM,0.000849
RAMCO-GERSHENSON PROPERTIES TRUST,RPT,0.000849
FORWARD AIR CORP.,FWRD,0.000845
CARPENTER TECHNOLOGY CORP.,CRS,0.000845
THE BRINKS COMPANY,BCO,0.000843
FTI CONSULTING INC.,FCN,0.000842
LUXOFT HOLDING INC CLASS A,LXFT,0.000842
MUELLER WATER PRODUCTS INC (A),MWA,0.000841
JOHN BEAN TECHNOLOGIES CORP.,JBT,0.000841
ASBURY AUTOMOTIVE GROUP INC.,ABG,0.000838
HILLTOP HOLDINGS INC.,HTH,0.000838
NORTHWEST BANCSHARES INC.,NWBI,0.000837
ZENDESK INC,ZEN,0.000835
INTERNATIONAL BANCSHARES CORP.,IBOC,0.000835
NATUS MEDICAL INC.,BABY,0.000834
SEAWORLD ENTERTAINMENT INC,SEAS,0.00083
HORACE MANN EDUCATORS CORP.,HMN,0.00083
RENASANT CORP.,RNST,0.00083
LIFELOCK INC.,LOCK,0.000828
SEMTECH CORP.,SMTC,0.000825
SABRA HEALTHCARE REIT INC.,SBRA,0.000824
HURON CONSULTING GROUP INC.,HURN,0.000823
CARRIZO OIL AND GAS INC,CRZO,0.000822
VIRTUSA CORP,VRTU,0.000821
TRAVELPORT WORLDWIDE LTD,TVPT,0.000821
BBCN BANCORP INC.,BBCN,0.000814
MOBILE MINI INC.,MINI,0.000813
SCHWEITZER-MAUDUIT INTERNATIONAL I,SWM,0.000808
PROVIDENT FINANCIAL SERVICES INC.,PFS,0.000806
QTS REALTY REIT CLASS A INC TRUST,QTS,0.000804
NXSTAGE MEDICAL INC.,NXTM,0.0008
HATTERAS FINANCIAL CORP.,HTS,0.0008
AIRCASTLE LTD.,AYR,0.0008
HALYARD HEALTH INC,HYH,0.0008
EMPIRE DISTRICT ELECTRIC CO.,EDE,0.000798
NORDIC AMERICAN TANKERS LTD.,NAT,0.000798
NIC INC.,EGOV,0.000794
ITRON INC.,ITRI,0.000789
AMN HEALTHCARE SERVICES INC.,AHS,0.000789
PARKWAY PROPERTIES INC.,PKY,0.000788
SYNCHRONOSS TECHNOLOGIES INC.,SNCR,0.000788
NETGEAR INC.,NTGR,0.000786
