name,symbol,weight
,,
Amazon.com Inc,AMZN,0.0566
Comcast Corp,CMCSA,0.02714
Starbucks Corp,SBUX,0.01783
Priceline Group Inc/The,PCLN,0.01135
Netflix Inc,NFLX,0.00945
Twenty-First Century Fox Inc,FOXA,0.00629
Tesla Motors Inc,TSLA,0.00544
JD.com Inc ADR,JD,0.0049
OReilly Automotive Inc,ORLY,0.00482
Ross Stores Inc,ROST,0.00442
Twenty-First Century Fox Inc,FOX,0.00428
Sirius XM Holdings Inc,SIRI,0.00401
Liberty Global PLC,LBTYK,0.00399
Charter Communications Inc,CHTR,0.00391
Dollar Tree Inc,DLTR,0.00368
Marriott International Inc/MD,MAR,0.00322
Viacom Inc,VIAB,0.00294
Ctrip.com International Ltd ADR,CTRP,0.00272
Expedia Inc,EXPE,0.00259
Norwegian Cruise Line Holdings Ltd,NCLH,0.00249
Liberty Interactive Corp QVC Group,QVCA,0.00246
DISH Network Corp,DISH,0.00243
Ulta Salon Cosmetics & Fragrance Inc,ULTA,0.00238
Tractor Supply Co,TSCO,0.00227
TripAdvisor Inc,TRIP,0.00199
Mattel Inc,MAT,0.00185
Liberty Global PLC,LBTYA,0.00177
Liberty Media Corp,LMCK,0.00158
Bed Bath & Beyond Inc,BBBY,0.00154
Discovery Communications Inc,DISCK,0.0014
Liberty Ventures,LVNTA,0.00112
Discovery Communications Inc,DISCA,0.00079
Liberty Media Corp,LMCA,0.00075
Kraft Heinz Co/The,KHC,0.01783
Walgreens Boots Alliance Inc,WBA,0.01736
Costco Wholesale Corp,COST,0.01381
Mondelez International Inc,MDLZ,0.01339
Monster Beverage Corp,MNST,0.00604
Whole Foods Market Inc,WFM,0.00221
Gilead Sciences Inc,GILD,0.02768
Amgen Inc,AMGN,0.02277
Celgene Corp,CELG,0.01641
Biogen Inc,BIIB,0.01236
Express Scripts Holding Co,ESRX,0.01118
Regeneron Pharmaceuticals Inc,REGN,0.00974
Alexion Pharmaceuticals Inc,ALXN,0.00738
Illumina Inc,ILMN,0.005
Mylan NV,MYL,0.00499
Vertex Pharmaceuticals Inc,VRTX,0.00491
Intuitive Surgical Inc,ISRG,0.00423
Cerner Corp,CERN,0.00414
Incyte Corp,INCY,0.00303
BioMarin Pharmaceutical Inc,BMRN,0.00282
Henry Schein Inc,HSIC,0.00249
Endo International PLC,ENDP,0.00247
American Airlines Group Inc,AAL,0.00525
PACCAR Inc,PCAR,0.00325
Verisk Analytics Inc,VRSK,0.00253
Fastenal Co,FAST,0.00233
Stericycle Inc,SRCL,0.00205
Apple Inc,AAPL,0.11269
Microsoft Corp,MSFT,0.08561
Alphabet Inc,GOOG,0.05023
Facebook Inc,FB,0.04497
Alphabet Inc,GOOGL,0.04351
Intel Corp,INTC,0.03125
Cisco Systems Inc,CSCO,0.02592
QUALCOMM Inc,QCOM,0.01438
Texas Instruments Inc,TXN,0.01049
Baidu Inc ADR,BIDU,0.00955
Adobe Systems Inc,ADBE,0.00914
PayPal Holdings Inc,PYPL,0.00814
Automatic Data Processing Inc,ADP,0.0074
Cognizant Technology Solutions Corp,CTSH,0.00729
Avago Technologies Ltd,AVGO,0.00706
eBay Inc,EBAY,0.00633
Yahoo! Inc,YHOO,0.00577
Activision Blizzard Inc,ATVI,0.00529
NXP Semiconductors NV,NXPI,0.00526
Intuit Inc,INTU,0.00502
Fiserv Inc,FISV,0.00412
Electronic Arts Inc,EA,0.00409
Applied Materials Inc,AMAT,0.00404
Paychex Inc,PAYX,0.00347
NVIDIA Corp,NVDA,0.00327
Analog Devices Inc,ADI,0.00324
SanDisk Corp,SNDK,0.00299
Check Point Software Technologies Ltd,CHKP,0.00289
Symantec Corp,SYMC,0.00284
Micron Technology Inc,MU,0.00272
Skyworks Solutions Inc,SWKS,0.00247
Western Digital Corp,WDC,0.0024
CA Inc,CA,0.0024
Autodesk Inc,ADSK,0.00239
Lam Research Corp,LRCX,0.00227
Xilinx Inc,XLNX,0.00224
Citrix Systems Inc,CTXS,0.00215
KLA-Tencor Corp,KLAC,0.0021
Linear Technology Corp,LLTC,0.00193
Seagate Technology PLC,STX,0.00193
Maxim Integrated Products Inc,MXIM,0.00189
Akamai Technologies Inc,AKAM,0.00169
NetApp Inc,NTAP,0.00138
T-Mobile US Inc,TMUS,0.00658
Vodafone Group PLC ADR,VOD,0.00259
SBA Communications Corp,SBAC,0.00256
