name,symbol,weight
,,
Apple Inc.,AAPL,0.03277515
Microsoft Corporation,MSFT,0.02490922
Exxon Mobil Corporation,XOM,0.01901728
Johnson & Johnson,JNJ,0.01621058
General Electric Company,GE,0.01609531
Berkshire Hathaway Inc. Class B,BRKb,0.01428291
Wells Fargo & Company,WFC,0.01395261
Amazon.com Inc.,AMZN,0.01350551
Facebook Inc. Class A,FB,0.01308703
JPMorgan Chase & Co.,JPM,0.01274048
Alphabet Inc. Class A,GOOGL,0.01266056
Alphabet Inc. Class C,GOOG,0.01257244
AT&T Inc.,T,0.01253472
Procter & Gamble Company,PG,0.01246209
Pfizer Inc.,PFE,0.01132143
Verizon Communications Inc.,VZ,0.01084835
Coca-Cola Company,KO,0.00989178
Bank of America Corporation,BAC,0.00936156
Home Depot Inc.,HD,0.00929252
Chevron Corporation,CVX,0.00924333
Intel Corporation,INTC,0.00908993
Walt Disney Company,DIS,0.00904131
Visa Inc. Class A,V,0.00859196
Merck & Co. Inc.,MRK,0.00854167
PepsiCo Inc.,PEP,0.00848753
Philip Morris International Inc.,PM,0.0082623
Citigroup Inc.,C,0.00812785
Gilead Sciences Inc.,GILD,0.00805112
Comcast Corporation Class A,CMCSA,0.00789511
Cisco Systems Inc.,CSCO,0.00754044
International Business Machines Corporation,IBM,0.00706795
Altria Group Inc.,MO,0.00684133
Allergan plc,AGN,0.00683903
Amgen Inc.,AMGN,0.00662266
Oracle Corporation,ORCL,0.00658676
McDonalds Corporation,MCD,0.00638034
Medtronic Plc,MDT,0.00633536
CVS Health Corporation,CVS,0.00629345
UnitedHealth Group Incorporated,UNH,0.00628669
Bristol-Myers Squibb Company,BMY,0.00617345
Wal-Mart Stores Inc.,WMT,0.00586547
MasterCard Incorporated Class A,MA,0.00533119
Starbucks Corporation,SBUX,0.00518901
3M Company,MMM,0.00515633
AbbVie Inc.,ABBV,0.00505115
Boeing Company,BA,0.00487103
Schlumberger NV,SLB,0.00486284
Celgene Corporation,CELG,0.0047808
NIKE Inc. Class B,NKE,0.0047791
Eli Lilly and Company,LLY,0.00467382
Honeywell International Inc.,HON,0.00451772
United Technologies Corporation,UTX,0.00441748
American International Group Inc.,AIG,0.00422962
Walgreens Boots Alliance Inc,WBA,0.00419246
QUALCOMM Incorporated,QCOM,0.00418073
Costco Wholesale Corporation,COST,0.00401422
Mondelez International Inc. Class A,MDLZ,0.00389411
U.S. Bancorp,USB,0.00386776
Lowes Companies Inc.,LOW,0.00386179
Union Pacific Corporation,UNP,0.00380807
Goldman Sachs Group Inc.,GS,0.00380742
United Parcel Service Inc. Class B,UPS,0.00379952
Accenture Plc,ACN,0.00374523
Abbott Laboratories,ABT,0.00362861
Biogen Inc.,BIIB,0.00359739
Simon Property Group Inc.,SPG,0.00344312
Lockheed Martin Corporation,LMT,0.00342008
Time Warner Inc.,TWX,0.00340936
Colgate-Palmolive Company,CL,0.00340464
Priceline Group Inc,PCLN,0.00330282
Express Scripts Holding Company,ESRX,0.00325447
Thermo Fisher Scientific Inc.,TMO,0.00322404
American Express Company,AXP,0.00317428
Danaher Corporation,DHR,0.00311526
Time Warner Cable Inc.,TWC,0.00307119
Texas Instruments Incorporated,TXN,0.00305116
E. I. du Pont de Nemours and Company,DD,0.00300378
Duke Energy Corporation,DUK,0.00296778
Dow Chemical Company,DOW,0.00296113
NextEra Energy Inc.,NEE,0.00290959
ConocoPhillips,COP,0.00290768
MetLife Inc.,MET,0.00287764
Ford Motor Company,F,0.00287164
EMC Corporation,EMC,0.00283262
Occidental Petroleum Corporation,OXY,0.00277267
Netflix Inc.,NFLX,0.00275009
TJX Companies Inc.,TJX,0.00273904
Kimberly-Clark Corporation,KMB,0.00273873
salesforce.com inc.,CRM,0.00272744
Target Corporation,TGT,0.00266409
Adobe Systems Incorporated,ADBE,0.0026598
PNC Financial Services Group Inc.,PNC,0.00264841
General Motors Company,GM,0.00260656
Southern Company,SO,0.00256896
Kraft Heinz Company,KHC,0.00254265
Dominion Resources Inc.,D,0.00248134
Morgan Stanley,MS,0.00245864
Monsanto Company,MON,0.00240789
Bank of New York Mellon Corporation,BK,0.00240548
Reynolds American Inc.,RAI,0.00235885
American Tower Corporation,AMT,0.00235709
BlackRock Inc.,BLK,0.00232181
General Dynamics Corporation,GD,0.0023149
Kroger Co.,KR,0.00229549
Raytheon Company,RTN,0.00221065
Public Storage,PSA,0.00220094
Aetna Inc.,AET,0.00219943
McKesson Corporation,MCK,0.00219529
Automatic Data Processing Inc.,ADP,0.00216515
PayPal Holdings Inc,PYPL,0.00215645
Regeneron Pharmaceuticals Inc.,REGN,0.00215483
Phillips 66,PSX,0.00215367
Alexion Pharmaceuticals Inc.,ALXN,0.00214422
Delta Air Lines Inc.,DAL,0.00214374
ACE Limited,ACE,0.00214115
Caterpillar Inc.,CAT,0.0021396
EOG Resources Inc.,EOG,0.00213018
Cognizant Technology Solutions Corporation Class A,CTSH,0.00211118
Anthem Inc.,ANTM,0.00210504
Cigna Corporation,CI,0.00210395
FedEx Corporation,FDX,0.00205629
Capital One Financial Corporation,COF,0.00204393
Northrop Grumman Corporation,NOC,0.00203495
Charles Schwab Corporation,SCHW,0.00199316
General Mills Inc.,GIS,0.00199243
Avago Technologies Limited,AVGO,0.00195287
Travelers Companies Inc.,TRV,0.00194772
Prudential Financial Inc.,PRU,0.00194726
Precision Castparts Corp.,PCP,0.00192091
Valero Energy Corporation,VLO,0.00188978
Twenty-First Century Fox Inc. Class A,FOXA,0.00182795
Broadcom Corporation Class A,BRCM,0.00180314
